Fechas	renglon	Mes_1	Mes_2	Mes_3	Mes_4	Mes_5	Mes_6	Mes_7	Mes_8	Mes_9	Mes_10	Mes_11	Mes_12	Crisis
01/05/2014	88	0	0	0	0	1	0	0	0	0	0	0	0	0
01/06/2014	89	0	0	0	0	0	1	0	0	0	0	0	0	0
01/07/2014	90	0	0	0	0	0	0	1	0	0	0	0	0	0
01/08/2014	91	0	0	0	0	0	0	0	1	0	0	0	0	0
01/09/2014	92	0	0	0	0	0	0	0	0	1	0	0	0	0
01/10/2014	93	0	0	0	0	0	0	0	0	0	1	0	0	0
01/11/2014	94	0	0	0	0	0	0	0	0	0	0	1	0	0
01/12/2014	95	0	0	0	0	0	0	0	0	0	0	0	1	0
01/01/2015	96	1	0	0	0	0	0	0	0	0	0	0	0	0
01/02/2015	97	0	1	0	0	0	0	0	0	0	0	0	0	0
01/03/2015	98	0	0	1	0	0	0	0	0	0	0	0	0	0
01/04/2015	99	0	0	0	1	0	0	0	0	0	0	0	0	0
01/05/2015	100	0	0	0	0	1	0	0	0	0	0	0	0	0
01/06/2015	101	0	0	0	0	0	1	0	0	0	0	0	0	0
01/07/2015	102	0	0	0	0	0	0	1	0	0	0	0	0	0
01/08/2015	103	0	0	0	0	0	0	0	1	0	0	0	0	0
01/09/2015	104	0	0	0	0	0	0	0	0	1	0	0	0	0
01/10/2015	105	0	0	0	0	0	0	0	0	0	1	0	0	0
01/11/2015	106	0	0	0	0	0	0	0	0	0	0	1	0	0
01/12/2015	107	0	0	0	0	0	0	0	0	0	0	0	1	0
01/01/2016	108	1	0	0	0	0	0	0	0	0	0	0	0	0
01/02/2016	109	0	1	0	0	0	0	0	0	0	0	0	0	0
01/03/2016	110	0	0	1	0	0	0	0	0	0	0	0	0	0
01/04/2016	111	0	0	0	1	0	0	0	0	0	0	0	0	0
01/05/2016	112	0	0	0	0	1	0	0	0	0	0	0	0	0
01/06/2016	113	0	0	0	0	0	1	0	0	0	0	0	0	0
01/07/2016	114	0	0	0	0	0	0	1	0	0	0	0	0	0
01/08/2016	115	0	0	0	0	0	0	0	1	0	0	0	0	0
01/09/2016	116	0	0	0	0	0	0	0	0	1	0	0	0	0
01/10/2016	117	0	0	0	0	0	0	0	0	0	1	0	0	0
01/11/2016	118	0	0	0	0	0	0	0	0	0	0	1	0	0
01/12/2016	119	0	0	0	0	0	0	0	0	0	0	0	1	0
01/01/2017	120	1	0	0	0	0	0	0	0	0	0	0	0	0
01/02/2017	121	0	1	0	0	0	0	0	0	0	0	0	0	0
01/03/2017	122	0	0	1	0	0	0	0	0	0	0	0	0	0
01/04/2017	123	0	0	0	1	0	0	0	0	0	0	0	0	0
01/05/2017	124	0	0	0	0	1	0	0	0	0	0	0	0	0
01/06/2017	125	0	0	0	0	0	1	0	0	0	0	0	0	0
01/07/2017	126	0	0	0	0	0	0	1	0	0	0	0	0	0
01/08/2017	127	0	0	0	0	0	0	0	1	0	0	0	0	0
01/09/2017	128	0	0	0	0	0	0	0	0	1	0	0	0	0
01/10/2017	129	0	0	0	0	0	0	0	0	0	1	0	0	0
01/11/2017	130	0	0	0	0	0	0	0	0	0	0	1	0	0
01/12/2017	131	0	0	0	0	0	0	0	0	0	0	0	1	0
01/01/2018	132	1	0	0	0	0	0	0	0	0	0	0	0	0
01/02/2018	133	0	1	0	0	0	0	0	0	0	0	0	0	0
01/03/2018	134	0	0	1	0	0	0	0	0	0	0	0	0	0
01/04/2018	135	0	0	0	1	0	0	0	0	0	0	0	0	0
01/05/2018	136	0	0	0	0	1	0	0	0	0	0	0	0	0
01/06/2018	137	0	0	0	0	0	1	0	0	0	0	0	0	0
01/07/2018	138	0	0	0	0	0	0	1	0	0	0	0	0	0
01/08/2018	139	0	0	0	0	0	0	0	1	0	0	0	0	0
01/09/2018	140	0	0	0	0	0	0	0	0	1	0	0	0	0
01/10/2018	141	0	0	0	0	0	0	0	0	0	1	0	0	0
01/11/2018	142	0	0	0	0	0	0	0	0	0	0	1	0	0
01/12/2018	143	0	0	0	0	0	0	0	0	0	0	0	1	0
01/01/2019	144	1	0	0	0	0	0	0	0	0	0	0	0	0
01/02/2019	145	0	1	0	0	0	0	0	0	0	0	0	0	0
01/03/2019	146	0	0	1	0	0	0	0	0	0	0	0	0	0
01/04/2019	147	0	0	0	1	0	0	0	0	0	0	0	0	0
01/05/2019	148	0	0	0	0	1	0	0	0	0	0	0	0	0
01/06/2019	149	0	0	0	0	0	1	0	0	0	0	0	0	0
01/07/2019	150	0	0	0	0	0	0	1	0	0	0	0	0	0
01/08/2019	151	0	0	0	0	0	0	0	1	0	0	0	0	0
01/09/2019	152	0	0	0	0	0	0	0	0	1	0	0	0	0
01/10/2019	153	0	0	0	0	0	0	0	0	0	1	0	0	0
01/11/2019	154	0	0	0	0	0	0	0	0	0	0	1	0	0
01/12/2019	155	0	0	0	0	0	0	0	0	0	0	0	1	0
01/01/2020	156	1	0	0	0	0	0	0	0	0	0	0	0	0
01/02/2020	157	0	1	0	0	0	0	0	0	0	0	0	0	1
01/03/2020	158	0	0	1	0	0	0	0	0	0	0	0	0	1
01/04/2020	159	0	0	0	1	0	0	0	0	0	0	0	0	1
01/05/2020	160	0	0	0	0	1	0	0	0	0	0	0	0	1
01/06/2020	161	0	0	0	0	0	1	0	0	0	0	0	0	1
01/07/2020	162	0	0	0	0	0	0	1	0	0	0	0	0	1
01/08/2020	163	0	0	0	0	0	0	0	1	0	0	0	0	1
01/09/2020	164	0	0	0	0	0	0	0	0	1	0	0	0	1
01/10/2020	165	0	0	0	0	0	0	0	0	0	1	0	0	1
01/11/2020	166	0	0	0	0	0	0	0	0	0	0	1	0	1
01/12/2020	167	0	0	0	0	0	0	0	0	0	0	0	1	1
01/01/2021	168	1	0	0	0	0	0	0	0	0	0	0	0	1
01/02/2021	169	0	1	0	0	0	0	0	0	0	0	0	0	1
01/03/2021	170	0	0	1	0	0	0	0	0	0	0	0	0	1
01/04/2021	171	0	0	0	1	0	0	0	0	0	0	0	0	1
01/05/2021	172	0	0	0	0	1	0	0	0	0	0	0	0	1
01/06/2021	173	0	0	0	0	0	1	0	0	0	0	0	0	1
01/07/2021	174	0	0	0	0	0	0	1	0	0	0	0	0	0
01/08/2021	175	0	0	0	0	0	0	0	1	0	0	0	0	0
01/09/2021	176	0	0	0	0	0	0	0	0	1	0	0	0	0
01/10/2021	177	0	0	0	0	0	0	0	0	0	1	0	0	0
01/11/2021	178	0	0	0	0	0	0	0	0	0	0	1	0	0
01/12/2021	179	0	0	0	0	0	0	0	0	0	0	0	1	0
01/01/2022	180	1	0	0	0	0	0	0	0	0	0	0	0	0
01/02/2022	181	0	1	0	0	0	0	0	0	0	0	0	0	0
01/03/2022	182	0	0	1	0	0	0	0	0	0	0	0	0	0
01/04/2022	183	0	0	0	1	0	0	0	0	0	0	0	0	0
01/05/2022	184	0	0	0	0	1	0	0	0	0	0	0	0	0
01/06/2022	185	0	0	0	0	0	1	0	0	0	0	0	0	0
01/07/2022	186	0	0	0	0	0	0	1	0	0	0	0	0	0
01/08/2022	187	0	0	0	0	0	0	0	1	0	0	0	0	0
01/09/2022	188	0	0	0	0	0	0	0	0	1	0	0	0	0
01/10/2022	189	0	0	0	0	0	0	0	0	0	1	0	0	0
01/11/2022	190	0	0	0	0	0	0	0	0	0	0	1	0	0
01/12/2022	191	0	0	0	0	0	0	0	0	0	0	0	1	0
01/01/2023	192	1	0	0	0	0	0	0	0	0	0	0	0	0
01/02/2023	193	0	1	0	0	0	0	0	0	0	0	0	0	0
01/03/2023	194	0	0	1	0	0	0	0	0	0	0	0	0	0
01/04/2023	195	0	0	0	1	0	0	0	0	0	0	0	0	0
01/05/2023	196	0	0	0	0	1	0	0	0	0	0	0	0	0
01/06/2023	197	0	0	0	0	0	1	0	0	0	0	0	0	0
01/07/2023	198	0	0	0	0	0	0	1	0	0	0	0	0	0
01/08/2023	199	0	0	0	0	0	0	0	1	0	0	0	0	0
01/09/2023	200	0	0	0	0	0	0	0	0	1	0	0	0	0
01/10/2023	201	0	0	0	0	0	0	0	0	0	1	0	0	0
01/11/2023	202	0	0	0	0	0	0	0	0	0	0	1	0	0
01/12/2023	203	0	0	0	0	0	0	0	0	0	0	0	1	0
01/01/2024	204	1	0	0	0	0	0	0	0	0	0	0	0	0
01/02/2024	205	0	1	0	0	0	0	0	0	0	0	0	0	0
01/03/2024	206	0	0	1	0	0	0	0	0	0	0	0	0	0
01/04/2024	207	0	0	0	1	0	0	0	0	0	0	0	0	0
01/05/2024	208	0	0	0	0	1	0	0	0	0	0	0	0	0
01/06/2024	209	0	0	0	0	0	1	0	0	0	0	0	0	0
01/07/2024	210	0	0	0	0	0	0	1	0	0	0	0	0	0
01/08/2024	211	0	0	0	0	0	0	0	1	0	0	0	0	0
01/09/2024	212	0	0	0	0	0	0	0	0	1	0	0	0	0
01/10/2024	213	0	0	0	0	0	0	0	0	0	1	0	0	0
01/11/2024	214	0	0	0	0	0	0	0	0	0	0	1	0	0
01/12/2024	215	0	0	0	0	0	0	0	0	0	0	0	1	0
01/01/2025	216	1	0	0	0	0	0	0	0	0	0	0	0	0
01/02/2025	217	0	1	0	0	0	0	0	0	0	0	0	0	0
01/03/2025	218	0	0	1	0	0	0	0	0	0	0	0	0	0
01/04/2025	219	0	0	0	1	0	0	0	0	0	0	0	0	0
01/05/2025	220	0	0	0	0	1	0	0	0	0	0	0	0	0
01/06/2025	221	0	0	0	0	0	1	0	0	0	0	0	0	0
01/07/2025	222	0	0	0	0	0	0	1	0	0	0	0	0	0
01/08/2025	223	0	0	0	0	0	0	0	1	0	0	0	0	0
01/09/2025	224	0	0	0	0	0	0	0	0	1	0	0	0	0
01/10/2025	225	0	0	0	0	0	0	0	0	0	1	0	0	0
01/11/2025	226	0	0	0	0	0	0	0	0	0	0	1	0	0
01/12/2025	227	0	0	0	0	0	0	0	0	0	0	0	1	0
