Fechas	lower	Forecast	upper
2021-04-01	159.12751878217992	194.71403184916585	230.30054491615178
2021-05-01	122.79302676886854	158.37953983585447	193.9660529028404
2021-06-01	133.57743571584945	169.16394878283538	204.7504618498213
2021-07-01	161.1967175870515	196.78323065403742	232.36974372102335
2021-08-01	155.05519491122885	190.64170797821478	226.2282210452007
2021-09-01	156.81011305994343	192.39662612692936	227.9831391939153
2021-10-01	138.72980601607375	174.31631908305968	209.9028321500456
2021-11-01	133.56777107392531	169.15428414091124	204.74079720789717
2021-12-01	139.45516525770466	175.0416783246906	210.62819139167652
2022-01-01	136.84991684121806	172.436429908204	208.02294297518992
2022-02-01	143.55185395598167	179.1383670229676	214.72488008995353
2022-03-01	139.8634153173467	175.44992838433262	211.03644145131855
2022-04-01	172.17878483272446	207.7652978997104	243.35181096669632
2022-05-01	165.30934162584666	200.8958546928326	236.48236775981852
2022-06-01	175.594763921215	211.18127698820092	246.76779005518685
2022-07-01	178.39916901476826	213.9856820817542	249.57219514874012
2022-08-01	162.69071501156412	198.27722807855005	233.86374114553598
2022-09-01	151.18842121993	186.77493428691594	222.36144735390187
2022-10-01	136.39057927739935	171.97709234438528	207.5636054113712
2022-11-01	137.56256588767303	173.14907895465896	208.7355920216449
2022-12-01	146.65668648815824	182.24319955514417	217.8297126221301
2023-01-01	148.3392108648952	183.92572393188112	219.51223699886705
2023-02-01	188.18465633593402	223.77116940291995	259.3576824699059
2023-03-01	160.58721958536213	196.17373265234806	231.760245719334
2023-04-01	177.26007065506232	212.84658372204825	248.43309678903418
2023-05-01	151.7674834395254	187.35399650651132	222.94050957349725
2023-06-01	172.84974174309332	208.43625481007925	244.02276787706518
2023-07-01	161.30877823065345	196.89529129763937	232.4818043646253
2023-08-01	150.96487935851565	186.55139242550158	222.1379054924875
2023-09-01	116.64384450740187	152.2303575743878	187.81687064137373
2023-10-01	118.33571236180461	153.92222542879054	189.50873849577647
2023-11-01	120.23486030514181	155.82137337212774	191.40788643911367
2023-12-01	140.50154019686565	176.08805326385158	211.6745663308375
